sample,type,density
plastic,Inside_SLICK,0.0307008
plastic,Inside_SLICK,4.9407220
plastic,Inside_SLICK,7.8137877
plastic,Inside_SLICK,0.6624281
plastic,Inside_SLICK,9.2199070
plastic,Inside_SLICK,27.9733010
plastic,Inside_SLICK,9.3741765
plastic,Inside_SLICK,11.7569832
plastic,Inside_SLICK,15.6440511
plastic,Inside_SLICK,7.2195458
plastic,Inside_SLICK,1.8465089
