sample,type,density
143,Inside,0.681
143,Inside,2.061
143,Inside,0.399
143,Inside,4.48
143,Inside,0.366
143,Inside,1.638
143,Inside,0.31
143,Inside,0.354
143,Inside,2.981
143,Inside,1
143,Inside,10.131
143,Inside,2.094
143,Inside,1
143,Inside,3.095
143,Inside,4.11
143,Inside,4.313
143,Inside,1.2
143,Inside,1.899
143,Inside,0.885
143,Inside,1.443
143,Inside,12.595
143,Inside,1.551
143,Inside,1.538
143,Inside,3.883
143,Inside,2.566
143,Inside,2.839
143,Inside,1.063
143,Inside,1.563
143,Inside,1.477
143,Inside,1.463
143,Inside,0.966
143,Inside,0.809
143,Inside,15.143
150,Inside,1.178
150,Inside,1.252
150,Inside,2.57
164,Inside,4.282
164,Inside,1.961
164,Inside,1.645
164,Inside,1.065
164,Inside,5.155
178,Inside,13.603
178,Inside,2.112
178,Inside,1.692
178,Inside,7.978
178,Inside,1.056
178,Inside,2.308
178,Inside,0.465
178,Inside,2.668
178,Inside,1.016
178,Inside,0.859
178,Inside,3.091
178,Inside,8.448
178,Inside,0.728
178,Inside,2.392
178,Inside,0.948
178,Inside,2.809
178,Inside,1.116
178,Inside,1.059
178,Inside,1.293
178,Inside,2.274
178,Inside,0.813
178,Inside,1.11
178,Inside,0.497
178,Inside,0.871
178,Inside,1.808
178,Inside,3.773
178,Inside,1.139
178,Inside,1.163
178,Inside,2.226
178,Inside,0.481
185,Inside,12.3
185,Inside,4.165
185,Inside,1.917
185,Inside,4.432
185,Inside,4.753
185,Inside,4.586
185,Inside,15.579
185,Inside,8.286
185,Inside,5.21
185,Inside,4.762
192,Inside,4.007
199,Inside,1.987
199,Inside,1.232
199,Inside,0.849
199,Inside,3.755
199,Inside,1.27
199,Inside,2.565
199,Inside,1.598
199,Inside,0.883
199,Inside,1.091
199,Inside,0.764
199,Inside,2.451
199,Inside,1.31
199,Inside,1.424
199,Inside,1.259
213,Inside,0.718
213,Inside,31.543
213,Inside,26.298
213,Inside,3.085
213,Inside,2.099
213,Inside,0.984
213,Inside,9.253
213,Inside,0.956
213,Inside,0.66
213,Inside,1.257
213,Inside,1.695
213,Inside,3.518
213,Inside,4.492
213,Inside,2.222
213,Inside,2.358
213,Inside,0.922
213,Inside,1.32
213,Inside,1.008
213,Inside,1.474
213,Inside,1.568
213,Inside,0.936
213,Inside,1.322
213,Inside,2.209
213,Inside,0.922
213,Inside,8.633
213,Inside,0.781
213,Inside,0.611
213,Inside,3.329
213,Inside,1.965
213,Inside,1.149
213,Inside,1.354
213,Inside,1.239
213,Inside,0.508
213,Inside,1.709
213,Inside,14.05
213,Inside,0.524
213,Inside,6.32
213,Inside,0.417
213,Inside,0.352
213,Inside,1.102
213,Inside,1.831
213,Inside,1.064
213,Inside,0.388
213,Inside,3.026
213,Inside,0.675
213,Inside,1.979
213,Inside,24.548
213,Inside,0.524
213,Inside,0.788
213,Inside,0.546
220,Inside,15.346
220,Inside,3.039
220,Inside,2.989
220,Inside,6.389
220,Inside,2.526
220,Inside,5.005
227,Inside,28.7
227,Inside,7.597
227,Inside,6.148
227,Inside,3.719
227,Inside,5.936
227,Inside,3.674
227,Inside,3.889
227,Inside,10.202
227,Inside,2.142
227,Inside,1.734
227,Inside,3.356
227,Inside,1.799
227,Inside,9.752
227,Inside,5.262
227,Inside,3.923
234,Inside,8.756
